40.85866, -108.69591
40.8815, -108.68699
40.85866, -108.67703
40.88306, -108.66776
40.85684, -108.65986

40.85781, -108.64666
40.86852, -108.6427
40.88306, -108.63652
40.8693, -108.62965
40.86852, -108.6427
40.8693, -108.62965
40.85736, -108.62347

40.85814, -108.60768
40.87138, -108.60837
40.8841, -108.60905
40.88436, -108.58811
40.87086, -108.58674
40.87138, -108.60837

40.85944, -108.5809
40.85957, -108.54332

40.88514, -108.52631
40.85866, -108.52494

40.88332, -108.51361
40.88358, -108.49782
40.85736, -108.49782
40.88358, -108.49782
40.88436, -108.48237

40.86022, -108.47722
40.86022, -108.44941

40.8854, -108.44082
40.85996, -108.44014
40.85918, -108.41336
40.88558, -108.4141
40.8854, -108.44082

40.88635, -108.40296
40.85883, -108.40124
40.85935, -108.3803
40.88738, -108.38236

40.88764, -108.37515
40.88738, -108.36279
40.85987, -108.3621
40.88738, -108.36279
40.88712, -108.35043
